,Modelo,Valor Previsto,Valor Previsto Máximo,Valor Previsto Mínimo
0,modelo_1,62458.458689890824,76120.89075754203,50353.60009601753
1,modelo_2,243678.14475176344,261168.78987907554,155385.26798337584
2,modelo_3,7829.0,12289.44075088406,0.0
3,modelo_4,17237.286460354015,37337.66135059001,7859.26442633057
4,modelo_5,93717.17932837876,123141.68352512129,51675.87780054865
5,modelo_6,125713.56764113251,157367.4473060879,61703.819962612564
6,modelo_7,26099.17992283567,29605.419065819544,14872.83769064242
7,modelo_8,16497.000000000007,16497.000000000007,11586.365101560204
8,modelo_9,16674.900826446275,9766.701323308003,25045.665067876558
