,Modelo,Valor Previsto,Valor Previsto Máximo,Valor Previsto Mínimo,Diferença Valor Previsto (%),Diferença Valor Previsto Máximo (%),Diferença Valor Previsto Mínimo (%)
0,modelo_1,62458.458689890824,76120.89075754203,50353.60009601753,-20.09408470557049,-2.6151208884513166,-35.58037472523824
1,modelo_2,243678.14475176344,261168.78987907554,155385.26798337584,211.7484100962879,234.12497905594006,98.79136184145824
2,modelo_3,7829.0,12289.44075088406,0.0,-89.98400818780785,-84.2775657252171,-100.0
3,modelo_4,17237.286460354015,37337.66135059001,7859.26442633057,-77.94756417788778,-52.23225055895859,-89.9452895460493
4,modelo_5,93717.17932837876,123141.68352512129,51675.87780054865,19.89660247985512,57.54069407678794,-33.88872538789912
5,modelo_6,125713.56764113251,157367.4473060879,61703.819962612564,60.831021097847525,101.32725299825739,-21.05952796953552
6,modelo_7,26099.17992283567,29605.419065819544,14872.83769064242,-66.6101453043745,-62.12445587434332,-80.97250983094426
7,modelo_8,16497.000000000007,16497.000000000007,11586.365101560204,-78.89464594127806,-78.89464594127806,-85.17704202448641
8,modelo_9,16674.900826446275,9766.701323308003,25045.665067876558,-78.6670494128494,-87.5050197360609,-67.95795424054685
